"Name","Live Bytes","Live Objects"
"sun.rmi.server.UnicastServerRef$$Lambda$182.0x0000000800d34b48","16 B (0%)","1 (0%)"
"java.awt.EventQueue$1","16 B (0%)","1 (0%)"
"java.awt.EventQueue$2","16 B (0%)","1 (0%)"
"org.lwjgl.system.jemalloc.JEmallocAllocator","16 B (0%)","1 (0%)"
"java.util.jar.JavaUtilJarAccessImpl","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor12","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor13","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor14","16 B (0%)","1 (0%)"
"sun.util.resources.LocaleData$LocaleDataStrategy","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor10","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor11","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor10","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor11","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor12","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor13","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor14","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor15","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPTransport$$Lambda$191.0x0000000800d64af8","16 B (0%)","1 (0%)"
"java.util.Spliterators$EmptySpliterator$OfInt","16 B (0%)","1 (0%)"
"com.jme3.system.lwjgl.LwjglWindow$$Lambda$30.0x0000000800c1ace8","16 B (0%)","1 (0%)"
"jdk.internal.misc.TerminatingThreadLocal$1","16 B (0%)","1 (0%)"
"jdk.jfr.internal.instrument.JDKEvents$$Lambda$103.0x0000000800cd36e8","16 B (0%)","1 (0%)"
"java.io.ObjectInputStream$$Lambda$208.0x0000000800d7c628","16 B (0%)","1 (0%)"
"java.security.cert.Certificate[]","16 B (0%)","1 (0%)"
"java.lang.invoke.VarHandle$1","16 B (0%)","1 (0%)"
"java.net.SocketImpl$$Lambda$202.0x0000000800d6e480","16 B (0%)","1 (0%)"
"java.io.ObjectInputStream$$Lambda$209.0x0000000800d7ca48","16 B (0%)","1 (0%)"
"java.lang.constant.Constable[]","16 B (0%)","1 (0%)"
"jdk.jfr.internal.TypeLibrary","16 B (0%)","1 (0%)"
"java.util.regex.CharPredicates$$Lambda$47.0x800000055","16 B (0%)","1 (0%)"
"java.util.concurrent.SynchronousQueue$TransferStack","16 B (0%)","1 (0%)"
"jdk.internal.perf.Perf","16 B (0%)","1 (0%)"
"jdk.internal.reflect.ReflectionFactory","16 B (0%)","1 (0%)"
"sun.rmi.server.Util$$Lambda$180.0x0000000800d34708","16 B (0%)","1 (0%)"
"javax.management.NotificationBroadcasterSupport$1","16 B (0%)","1 (0%)"
"com.jme3.system.lwjgl.LwjglWindow$$Lambda$27.0x0000000800c1a688","16 B (0%)","1 (0%)"
"java.util.ResourceBundle$1","16 B (0%)","1 (0%)"
"jdk.internal.logger.LazyLoggers$LazyLoggerFactories","16 B (0%)","1 (0%)"
"java.awt.GraphicsEnvironment$$Lambda$73.0x0000000800c67c38","16 B (0%)","1 (0%)"
"sun.nio.ch.Util$1","16 B (0%)","1 (0%)"
"org.lwjgl.system.MemoryUtil$2","16 B (0%)","1 (0%)"
"jdk.internal.platform.cgroupv2.CgroupV2SubsystemController","16 B (0%)","1 (0%)"
